rg_id;rg_desc;rg_desc_abrev;
701;"Região de Governo de Adamantina";"Adamantina";
702;"Região de Governo de Andradina";"Andradina";
703;"Região de Governo de Araçatuba";"Araçatuba";
704;"Região de Governo de Araraquara";"Araraquara";
705;"Região de Governo de Assis";"Assis";
706;"Região de Governo de Avaré";"Avaré";
707;"Região de Governo de Barretos";"Barretos";
708;"Região de Governo de Bauru";"Bauru";
709;"Região de Governo de Botucatu";"Botucatu";
710;"Região de Governo de Bragança Paulista";"Bragança Paulista";
711;"Região de Governo de Campinas";"Campinas";
712;"Região de Governo de Caraguatatuba";"Caraguatatuba";
713;"Região de Governo de Catanduva";"Catanduva";
714;"Região de Governo de Cruzeiro";"Cruzeiro";
715;"Região de Governo de Dracena";"Dracena";
716;"Região de Governo de Fernandópolis";"Fernandópolis";
717;"Região de Governo de Franca";"Franca";
718;"Região de Governo de Guaratinguetá";"Guaratinguetá";
719;"Região de Governo de Itapetininga";"Itapetininga";
720;"Região de Governo de Itapeva";"Itapeva";
721;"Região de Governo de Jales";"Jales";
722;"Região de Governo de Jaú";"Jaú";
723;"Região de Governo de Jundiaí";"Jundiaí";
724;"Região de Governo de Limeira";"Limeira";
725;"Região de Governo de Lins";"Lins";
726;"Região de Governo de Marília";"Marília";
727;"Região de Governo de Ourinhos";"Ourinhos";
728;"Região de Governo de Piracicaba";"Piracicaba";
729;"Região de Governo de Presidente Prudente";"Presidente Prudente";
730;"Região de Governo de Registro";"Registro";
731;"Região de Governo de Ribeirão Preto";"Ribeirão Preto";
732;"Região de Governo de Rio Claro";"Rio Claro";
733;"Região de Governo de Santos";"Santos";
734;"Região de Governo de São Carlos";"São Carlos";
735;"Região de Governo de São João da Boa Vista";"São João da Boa Vista";
736;"Região de Governo de São Joaquim da Barra";"São Joaquim da Barra";
737;"Região de Governo de São José do Rio Preto";"São José do Rio Preto";
738;"Região de Governo de São José dos Campos";"São José dos Campos";
739;"Região de Governo de Sorocaba";"Sorocaba";
740;"Região de Governo de Taubaté";"Taubaté";
741;"Região de Governo de Tupã";"Tupã";
742;"Região de Governo de Votuporanga";"Votuporanga";
