GRUPO ETÁRIO,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
Total,1757589,869265,4080611,576568,8513497,829494,1555229,7035055,3263754,9076426,3479010,3996496,9496735,3322379,2278308,14812617,21168791,3972388,17159960,45538936,11348937,7075494,11329605,2748023,3441998,6923655,2972209
0,139155,83908,408742,56192,722380,81129,124911,588944,237950,654117,240597,285497,694838,255804,169979,1027843,1332326,286822,1127818,3064017,791136,479371,714571,219300,282700,513932,205494
5,133775,85208,400870,53732,746554,80117,126403,605783,241507,649600,247866,275237,712099,269021,172611,1062241,1311803,275454,1068887,2991677,751415,447769,674410,209807,261258,499051,186527
10,141429,91992,390922,52010,806502,80229,135251,689448,271304,694324,263910,315189,750711,292794,182051,1158306,1369560,276990,1077966,2999044,766090,449479,707669,204492,271355,496931,217868
15,154992,92130,398681,53545,822083,84920,140351,675780,298973,772985,281887,338372,805212,320644,196910,1255975,1537620,299951,1211741,3237404,854621,493259,808219,212065,271273,533150,240010
20,157399,83539,395428,56903,808431,81694,143409,667534,289713,838245,298542,339636,815056,311057,208810,1275636,1710955,313403,1333779,3444987,928739,569290,873382,227825,288663,574910,248665
25,155824,73352,357895,55310,754403,76625,135066,603716,268125,804296,302056,329206,779567,272561,198918,1208879,1707914,322387,1308265,3603105,915101,598223,862556,227390,294147,592792,254833
30,153798,68978,336043,51815,723191,71249,129550,587200,266051,770228,304789,325278,779606,260852,195987,1236983,1717323,338923,1349485,3870857,886184,609764,869690,223154,294665,601032,272544
35,144476,64307,310054,46987,665645,63520,122917,531431,251014,694946,275919,310876,740811,250650,182119,1229213,1682416,325104,1362722,3777409,862287,574669,855723,215350,282061,577318,275661
40,126707,53854,262062,37579,564792,53269,107549,439652,222177,611973,239860,279175,671863,223240,160192,1064730,1553539,287503,1261965,3397581,810661,507749,764161,193953,253892,524410,242384
45,111064,43591,211852,29910,468914,43496,89929,362873,190907,546478,218515,248422,596624,194724,141557,916062,1381507,252516,1144477,3055073,769167,476840,730846,175287,223344,461847,202732
50,97588,35405,172876,24412,386325,33724,77922,316754,175035,504322,205473,227364,530557,172337,124970,824918,1330563,238275,1098783,2837660,730717,463242,751191,161172,197739,408783,174772
55,79269,27537,137432,19582,309874,25901,63057,262263,149909,417762,168732,188610,443956,139692,99948,693448,1217391,213497,1020271,2541542,637173,411662,720334,139736,163761,337845,139286
60,59508,21702,104277,14473,247827,19534,50239,213872,122339,321239,123787,149179,355434,113078,77813,564104,1026901,177583,870011,2131564,520296,327108,612222,109956,125334,265481,106246
65,41454,16090,74284,10191,182595,12943,38975,169641,98119,265311,100373,125922,283798,89469,60595,438339,797571,131788,678920,1642778,406516,250129,488261,82928,89968,199599,79277
70,27098,11481,50125,6506,128025,8521,28178,124524,72959,205706,81298,99869,215866,64960,43958,334520,580328,88943,487116,1168609,293096,172451,355550,58621,61309,140701,53752
75,17255,7719,33231,3796,86076,6022,19524,89031,50826,145979,55544,71904,148915,43764,29111,235317,400847,62083,330000,787462,199182,112676,241187,40707,39796,94759,35072
80,9858,4526,19681,2122,49975,3488,12611,56753,32287,97272,36769,47537,95261,26331,18187,150434,268918,41941,222387,521489,125482,71466,158256,25637,23542,57960,21680
85,4506,2415,10053,992,25152,1816,6218,29305,15867,49628,19017,23583,47273,13189,9363,80686,145958,23468,124173,286565,65646,37109,87251,13139,11050,28022,10093
90,2434,1531,6103,511,14753,1297,3169,20551,8692,32015,14076,15640,29288,8212,5229,54983,95351,15757,81194,180113,35428,23238,54126,7504,6141,15132,5313
