"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
0.4786851501,0.5050756084,0.2984892207,0.1576374846,0.2627695865,0.4018546227,0.4685502699,0.4258135382,0.2150961024,0.0856771029,0.0870546345,0.0755193125,0.0512917477,0.0234483239,0.0079364422,0.0107284629
0.3558020504,0.7787448224,0.5139268619,0.2115106882,0.0859796608,0.283060272,0.4998221828,0.5285489258,0.4122094676,0.1584872783,0.0749124499,0.0765833892,0.0477234302,0.0258896154,0.0112595601,0.0107315166
0.2590311449,0.6348871303,1.361756178,0.5001651525,0.1174819121,0.1026461266,0.2411345833,0.4727437157,0.5402641745,0.2670881862,0.1100772334,0.0440604503,0.0274640932,0.0282503329,0.0204487188,0.0121466456
0.1422319219,0.2438393188,0.5376163788,1.053252053,0.2877849639,0.1092545288,0.0651564022,0.2432453987,0.3901133395,0.4138127748,0.2319490867,0.0754147131,0.034283981,0.0212225677,0.0103357339,0.0086485857
0.2738188569,0.1543052897,0.1605306225,0.5104133953,0.9517536612,0.3586593992,0.0924867227,0.047742694,0.1581419686,0.365817386,0.2554481149,0.1333896459,0.0346134459,0.0106245837,0.0084419869,0.0086878206
0.5940980178,0.2697184696,0.1066914579,0.1833052378,0.3956189312,0.8195594726,0.2637686514,0.0660408402,0.0382455599,0.1156000433,0.2321816312,0.1533178768,0.0733614689,0.0231225544,0.0041264649,0.0102577816
0.6386088942,0.7576060556,0.431091557,0.0991329321,0.1393578856,0.3205606241,0.6571027676,0.2548845414,0.1062128983,0.043093195,0.0688078359,0.0993845824,0.0901069093,0.0223390161,0.011555556,0.0069524596
0.562093484,0.8733454374,0.7559824356,0.3319913634,0.0723327103,0.0867417126,0.2024358273,0.6006271369,0.1779360061,0.0630704548,0.0444592605,0.0408244694,0.0627513255,0.0405176213,0.017127773,0.0059872071
0.3575128895,0.6623458232,0.7718020807,0.5499361604,0.1736809912,0.0736191374,0.1301685176,0.1993732681,0.4655155794,0.1541226257,0.0612304091,0.0182514047,0.0423438091,0.0431289203,0.0165626668,0.0117535842
0.2081309966,0.4159145235,0.565100143,0.6776024054,0.3814650406,0.1418500089,0.0616035396,0.1294570131,0.1647016619,0.4115084134,0.1459680381,0.0440480731,0.023953157,0.0173129531,0.0146905915,0.0227533902
0.3047254766,0.2674444216,0.4163196151,0.4651688788,0.4175136505,0.2852077243,0.1393161868,0.0768294476,0.1140496502,0.1612209564,0.3381326617,0.1349377997,0.0375539565,0.0142942601,0.0135676308,0.0255179198
0.5276200436,0.5278701065,0.3362211671,0.4303793414,0.3641632303,0.4265567225,0.3378020105,0.1349204364,0.0798784043,0.1579556832,0.2036772726,0.3317638543,0.122561263,0.0557380736,0.0124446039,0.0219056384
0.5374147224,0.5075006728,0.3229994045,0.3070670366,0.2134031441,0.2742451262,0.3283865685,0.2602351513,0.1322254767,0.0728490113,0.1195058379,0.1637640129,0.2556012285,0.0926970277,0.024512838,0.0063176202
0.3794937645,0.5532410242,0.4744915622,0.2479663762,0.1927692449,0.2067548436,0.3267867007,0.3952572942,0.3070042961,0.1008899187,0.1025683891,0.1301664137,0.123142099,0.2406770814,0.0547566768,0.0140136834
0.1635955442,0.4853606533,0.4053372341,0.3154253855,0.0689051814,0.156703275,0.128840621,0.2791238092,0.2568583154,0.2014385573,0.1249764715,0.0756556604,0.1033168591,0.0883078863,0.156573213,0.057440655
0.2955503874,0.3989803543,0.6025798231,0.500972402,0.137993777,0.1171659319,0.1436630599,0.3160229763,0.3469165175,0.3096051084,0.3125370807,0.1455729499,0.0606555383,0.1065477185,0.063909241,0.0982773496
