"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
0.9553773437,0.468601319,0.2711060675,0.1944766689,0.3213507343,0.4878207186,0.5496302431,0.421955934,0.2715203809,0.1786425132,0.2015564238,0.1635827105,0.1040159023,0.0874148966,0.051299382,0.0215382254
0.5102351859,2.177573639,0.9022515969,0.2430423533,0.2011951821,0.3968958824,0.4724243129,0.4694991797,0.377416508,0.1684374648,0.1259050418,0.1268233074,0.1128224714,0.0822271816,0.0364852631,0.0240425689
0.185857962,1.119581244,4.477294426,0.6795975946,0.4393631708,0.3693414248,0.4156674422,0.4446728591,0.487974221,0.2879538472,0.1765919111,0.1067483135,0.0717556714,0.0724926093,0.0481530493,0.0369786152
0.0985448216,0.3514868992,1.849023859,5.384916131,1.274251613,0.592425789,0.3657873524,0.3918179821,0.3813183233,0.3150102848,0.1327564772,0.0640861157,0.0449921845,0.0400066428,0.0223232555,0.0132269815
0.1367443589,0.1973461039,0.3326408828,2.080163942,3.288101843,1.291981251,0.7464220076,0.4435705103,0.3278139111,0.3551124337,0.2013201126,0.1296100036,0.0499455276,0.0374865706,0.038410734,0.0270058129
0.234952027,0.138390312,0.140856786,0.5347384959,1.460212748,1.852220218,1.026811624,0.6151360179,0.3908627133,0.3287184405,0.259389468,0.135204116,0.0510196319,0.037142784,0.0217775063,0.009797454
0.2313909783,0.1863483095,0.3200221444,0.2477268978,0.641112737,0.9369102158,1.145607253,0.7317602452,0.4376043182,0.3105713538,0.2940693699,0.2063215508,0.0904489551,0.0644898323,0.0304187658,0.0252284238
0.1878619608,0.250904854,0.213669687,0.1535841237,0.3576128611,0.6239073604,0.7612566578,0.82975354,0.5498059304,0.3277833939,0.2085899133,0.1607098952,0.1321852601,0.0904290854,0.049904908,0.0176271833
0.1222024143,0.1796813176,0.3182624621,0.1984697079,0.3482318342,0.4156373701,0.5593099851,0.5407018676,0.5573184008,0.3152647447,0.2019404766,0.0923429285,0.0837753367,0.0581937382,0.0414761954,0.0156310146
0.0342952749,0.0638801763,0.094078669,0.1741889598,0.2340451862,0.2887910793,0.3452885222,0.3450796104,0.3146197286,0.2995442634,0.2175966818,0.0968471793,0.0659667922,0.0427433693,0.0356890965,0.0245984895
0.0509215207,0.1082956071,0.1389890232,0.2005828019,0.3580713232,0.4518181523,0.3228182063,0.2801480333,0.3012554549,0.3126013686,0.2292394765,0.1765738218,0.1027688914,0.0555546653,0.0343032694,0.0206425591
0.0673905147,0.0679503547,0.0826436978,0.0952208674,0.233091887,0.3905544443,0.3945846484,0.2929053152,0.2720484606,0.178101185,0.2439900666,0.2214665268,0.1373284874,0.0758580083,0.0393879426,0.0190907995
0.04337917,0.0537536701,0.0523011933,0.0806690131,0.166195724,0.2542305627,0.2558091323,0.2743032262,0.2247879897,0.1690901737,0.1428487894,0.1721160408,0.1433603273,0.1034452169,0.0679704876,0.0254601413
0.0408068699,0.0611372816,0.0439206155,0.0448874761,0.1280859112,0.1988605795,0.2454271149,0.1967801128,0.1780013571,0.1314744065,0.1356409062,0.1428033525,0.1296980493,0.1118163122,0.0555019275,0.0295606562
0.0143232437,0.0344121228,0.0560469441,0.1015445569,0.0920400014,0.1334144327,0.1339690084,0.166826381,0.1856267486,0.1299677014,0.0992237516,0.0963433094,0.1518458314,0.13541738,0.1169358984,0.0380529299
0.0197263095,0.0227441181,0.0379754463,0.0203678476,0.0435729766,0.0578363946,0.1070632086,0.0768827066,0.0696975867,0.0802939319,0.0546660411,0.0512904569,0.0464865265,0.0613288205,0.0500428949,0.0303056853
