param	value	distribution	param1	param2	description	X	X.1	X.2	X.3	X.4	X.5	X.6	X.7
1	p	0.02	lnorm	-4	1	probabilty of infection given a contact (in %)	19	0.01512	0.01499541	0.02105399	0.024989	0.02105399	0.02024	0.02539
2	rho	100	unif	70	130	relative infectiousness of incubation phase (%) min 0 max 100 step 0.5		NA	NA	NA	NA	NA	NA	NA
3	omega	100			NA	average duration of immunity (years) min 0.5 max 100 step 0.5		NA	NA	NA	NA	NA	NA	NA
4	gamma	5.1			NA	average incubation period (days) min 1 max 7 step 0.5		NA	NA	NA	NA	NA	NA	NA
5	nui	10			NA	average duration of symptomatic infection period (days) min 1 max 7 step 0.5		NA	NA	NA	NA	NA	NA	NA
6	report	0			NA	percentage of asymptomatic infections that are reported (%) min 0 max 100 step 1		NA	NA	NA	NA	NA	NA	NA
7	ratem	7.4			NA	time to death for fatal infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
8	nus	11.5			NA	duration of non-fatal severe infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
9	rhos	10			NA	relative level of conatcts from severely ill patients (%) min 0 max 100 step 1		NA	NA	NA	NA	NA	NA	NA
10	amp	0			NA	relative amplitude of seasonal forcing (%) min 0 max 100 step 1		NA	NA	NA	NA	NA	NA	NA
11	phi	6			NA	month of peak in seasonal forcing		NA	NA	NA	NA	NA	NA	NA
12	beds	7.38			NA	beds per 1000 population in SAO PAULO STATE (ICU + regular)		NA	NA	NA	NA	NA	NA	NA
13	beds_available	3000	5031,712474	27847	NA	regular beds (leitos de internação) in SP city	88560	NA	NA	NA	NA	NA	NA	NA
14	icu_beds_available	5000	3639,840909	7517	NA	ICU beds in SP city	8052	NA	NA	NA	NA	NA	NA	NA
15	ICU_beds	671			NA	beds per 1000 population in SAO PAULO STATE (only ICU)		NA	NA	NA	NA	NA	NA	NA
16	startdate	2020-02-19			NA		2020-02-01	NA	NA	NA	NA	NA	NA	NA
17	shift_start	0	dunif	-10	10	how many days before or after start_date? (ignored in simple simulation)		NA	NA	NA	NA	NA	NA	NA
18	stopdate	2020-12-31			NA			NA	NA	NA	NA	NA	NA	NA
19	reporth	95			NA	percentage of all hospitalized infections that are reported (%) min 0 max 100 step 1		NA	NA	NA	NA	NA	NA	NA
20	reportc	1			NA	percentage of all symptomatic infections that are reported (%) min 0 max 100 step 1		NA	NA	NA	NA	NA	NA	NA
21	ratemHC	24			NA	time to death for hospital overload infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
22	ratemICU	24			NA	time to death for ICU patient (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
23	ratemICUC	24			NA	time to death for ICU overload patient (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
